timestamp_perf_counter,process_cpu_percent,process_rss_mib,system_ram_percent,gpu_allocated_mib,gpu_reserved_mib
1060427.2066365,133.0,1392.54,61.9,428.4,550.0
1060427.2574034,75.6,1392.54,61.9,428.62,550.0
1060427.3079682,99.7,1392.54,61.9,428.16,550.0
1060427.3589111,99.7,1392.54,61.9,428.06,550.0
1060427.4094883,133.0,1392.54,61.9,428.11,550.0
1060427.4604417,75.6,1392.54,61.9,428.54,550.0
1060427.511231,99.7,1392.54,61.9,428.62,550.0
1060427.5619518,99.7,1392.54,61.9,427.97,550.0
1060427.6125224,99.7,1392.54,61.9,428.35,550.0
1060427.6634713,74.4,1392.54,61.9,428.43,550.0
1060427.7140615,101.9,1392.54,61.9,428.36,550.0
1060427.7646137,99.7,1392.54,61.9,427.7,550.0
1060427.8156892,133.0,1392.54,61.9,428.01,550.0
1060427.8662591,74.4,1392.54,61.9,428.42,550.0
1060427.9170183,99.7,1392.54,61.9,428.19,550.0
1060427.9676308,101.9,1392.54,61.9,427.86,550.0
1060428.0185859,133.0,1392.55,61.9,428.06,550.0
1060428.0695503,74.4,1392.55,61.9,428.19,550.0
